Channel 1,Channel 2,Channel 3,Channel 4,Class
-779.296875,-68.84765625,225.09765625,734.86328125,0
94.23828125,-352.05078125,305.17578125,881.8359375,0
-760.7421875,147.4609375,311.5234375,-501.46484375,0
662.109375,407.71484375,204.1015625,-449.21875,0
-741.69921875,-83.49609375,205.078125,801.26953125,0
402.83203125,-388.18359375,303.7109375,-914.55078125,0
-1000.0,40.0390625,408.69140625,-90.8203125,0
-46.875,549.31640625,403.80859375,-916.015625,0
-795.41015625,284.66796875,359.86328125,163.0859375,0
890.625,-255.37109375,302.734375,-844.23828125,0
-651.3671875,-48.33984375,323.2421875,135.7421875,0
-307.6171875,566.89453125,296.38671875,-1000.0,0
-921.875,493.65234375,204.58984375,-465.8203125,0
-833.984375,-52.24609375,240.234375,854.00390625,0
-117.1875,-152.34375,309.5703125,456.0546875,0
-588.8671875,418.45703125,301.7578125,-983.3984375,0
908.69140625,584.47265625,213.8671875,-783.69140625,0
-778.3203125,117.67578125,269.04296875,530.2734375,0
166.9921875,-201.66015625,463.37890625,845.703125,0
-1000.0,261.71875,557.12890625,-518.5546875,0
235.3515625,649.90234375,296.875,-1000.0,0
-710.9375,342.7734375,190.91796875,-16.6015625,0
475.5859375,-167.96875,285.64453125,934.5703125,0
-1000.0,99.12109375,346.19140625,-202.63671875,0
-229.00390625,618.65234375,242.67578125,-1000.0,0
-854.98046875,462.40234375,182.6171875,-346.6796875,0
992.67578125,-89.84375,276.3671875,924.31640625,0
-545.8984375,-50.78125,344.23828125,189.453125,0
-361.81640625,552.734375,299.8046875,-1000.0,0
-950.68359375,543.45703125,250.48828125,-556.15234375,0
-817.3828125,24.4140625,450.68359375,815.4296875,0
-0.9765625,-115.72265625,525.390625,446.77734375,0
-732.91015625,421.38671875,376.46484375,-972.16796875,0
752.44140625,598.6328125,229.98046875,-848.6328125,0
-750.9765625,181.640625,230.46875,343.75,0
183.10546875,-160.64453125,326.171875,663.0859375,0
-1000.0,253.90625,369.62890625,-635.25390625,0
64.453125,620.1171875,274.90234375,-1000.0,0
-722.16796875,364.74609375,231.4453125,-202.63671875,0
554.6875,-105.95703125,309.08203125,721.6796875,0
-1000.0,94.23828125,389.6484375,-180.6640625,0
-266.11328125,614.74609375,345.21484375,-1000.0,0
-882.32421875,495.1171875,293.9453125,-560.546875,0
-940.91796875,-11.23046875,437.98828125,727.05078125,0
-443.84765625,-13.18359375,576.171875,232.91015625,0
-467.7734375,521.484375,428.22265625,-1000.0,0
997.55859375,558.59375,256.8359375,-770.01953125,0
-791.9921875,62.98828125,278.80859375,574.21875,0
89.84375,-218.75,378.90625,684.08203125,0
-761.23046875,290.52734375,373.53515625,-793.45703125,0
671.875,574.70703125,252.44140625,-854.4921875,0
-737.3046875,119.140625,257.32421875,485.83984375,0
286.1328125,-311.5234375,361.81640625,-947.75390625,0
-1000.0,114.2578125,452.63671875,-264.6484375,0
-17.08984375,607.91015625,358.3984375,-974.12109375,0
-745.60546875,359.375,405.2734375,-20.99609375,0
683.59375,-130.37109375,518.5546875,883.7890625,0
-913.57421875,55.6640625,438.96484375,-6.34765625,0
-277.34375,592.28515625,305.17578125,-1000.0,0
-911.1328125,538.0859375,204.58984375,-649.90234375,0
-863.76953125,59.08203125,262.6953125,488.76953125,0
-249.0234375,38.57421875,344.23828125,25.87890625,0
-614.74609375,544.921875,345.21484375,-1000.0,0
921.875,621.09375,238.28125,-986.81640625,0
-794.43359375,280.76171875,228.515625,-104.00390625,0
176.7578125,84.9609375,364.74609375,1.953125,0
-1000.0,486.328125,511.23046875,-962.40234375,0
137.6953125,673.33984375,495.1171875,-1000.0,0
-703.125,425.78125,317.3828125,-605.46875,0
315.91796875,178.7109375,289.55078125,-285.64453125,0
-1000.0,388.18359375,375.0,-850.5859375,0
-233.3984375,605.46875,403.80859375,-1000.0,0
