Channel 1,Channel 2,Channel 3,Channel 4,Class
999.51171875,-968.26171875,-847.16796875,-968.26171875,0
999.51171875,-968.26171875,-742.1875,-968.26171875,0
999.51171875,-968.26171875,-918.9453125,-968.26171875,0
999.51171875,-968.26171875,-987.79296875,-968.26171875,0
999.51171875,-968.26171875,-934.5703125,-968.26171875,0
999.51171875,-968.26171875,-788.57421875,-968.26171875,0
999.51171875,-968.26171875,-814.94140625,-968.26171875,0
999.51171875,-967.7734375,-966.796875,-968.26171875,0
999.51171875,-967.7734375,-938.96484375,-968.26171875,0
999.51171875,-971.19140625,-714.35546875,-968.26171875,0
999.51171875,-952.63671875,-652.83203125,-968.26171875,0
-989.74609375,-945.80078125,-869.62890625,-968.26171875,0
956.0546875,-978.515625,-851.5625,-968.26171875,0
-975.5859375,-938.4765625,-524.4140625,-968.26171875,0
943.359375,-778.80859375,-345.703125,-968.26171875,0
-333.984375,-763.18359375,-529.296875,-968.26171875,0
-1000.0,-874.51171875,-614.74609375,-968.26171875,0
24.4140625,-814.94140625,-326.171875,-968.26171875,0
405.76171875,-607.421875,-21.484375,-968.26171875,0
-1000.0,-577.63671875,-188.4765625,-968.26171875,0
-998.53515625,-699.70703125,-410.15625,-968.26171875,0
-924.8046875,-702.63671875,-222.65625,-968.26171875,0
-978.515625,-557.6171875,18.5546875,-968.26171875,0
-968.26171875,-466.796875,-55.17578125,-968.26171875,0
-968.26171875,-553.7109375,-288.57421875,-968.26171875,0
-968.26171875,-624.51171875,-244.140625,-968.26171875,0
-968.26171875,-518.06640625,29.296875,-968.26171875,0
-973.6328125,-406.73828125,43.9453125,-968.26171875,0
-932.6171875,-491.2109375,-246.58203125,-968.26171875,0
-1000.0,-589.35546875,-266.11328125,-968.26171875,0
-602.5390625,-535.15625,-8.30078125,-968.26171875,0
-412.109375,-433.59375,15.13671875,-968.26171875,0
-926.7578125,-465.33203125,-229.98046875,-968.26171875,0
-1000.0,-609.375,-411.1328125,-968.26171875,0
-197.75390625,-615.234375,-243.1640625,-968.26171875,0
800.78125,-471.19140625,-51.26953125,-968.26171875,0
-583.984375,-442.87109375,-195.80078125,-968.26171875,0
-1000.0,-603.02734375,-473.6328125,-968.26171875,0
-191.89453125,-675.78125,-419.43359375,-968.26171875,0
-823.73046875,-543.9453125,-163.57421875,-965.33203125,0
261.23046875,-463.8671875,-225.09765625,-969.7265625,0
-1000.0,-575.68359375,-452.1484375,-929.19921875,0
-780.2734375,-630.37109375,-444.82421875,-1000.0,0
837.890625,-614.2578125,-79.1015625,-444.3359375,0
301.7578125,-605.46875,28.3203125,-269.04296875,0
-1000.0,-542.48046875,-363.28125,-964.84375,0
-1000.0,-582.03125,-516.11328125,-1000.0,0
-15.13671875,-574.70703125,-233.3984375,-488.28125,0
305.17578125,-704.58984375,79.58984375,86.42578125,0
-966.30859375,-617.67578125,-201.66015625,-866.69921875,0
-1000.0,-509.765625,-508.7890625,-1000.0,0
-399.90234375,-481.4453125,-319.82421875,-816.89453125,0
264.16015625,-683.59375,100.5859375,257.32421875,0
-886.23046875,-685.05859375,-10.7421875,-383.7890625,0
-1000.0,-424.8046875,-408.69140625,-1000.0,0
-898.92578125,-389.6484375,-350.09765625,-1000.0,0
-761.71875,-612.3046875,12.20703125,98.14453125,0
-895.99609375,-712.40234375,74.21875,177.24609375,0
-1000.0,-420.8984375,-409.66796875,-1000.0,0
-951.66015625,-366.69921875,-505.859375,-1000.0,0
-973.14453125,-506.34765625,-104.98046875,-56.15234375,0
-968.26171875,-656.73828125,134.765625,272.4609375,0
-968.26171875,-412.109375,-269.04296875,-965.33203125,0
-968.26171875,-312.98828125,-506.8359375,-1000.0,0
-968.26171875,-364.74609375,-221.19140625,-310.05859375,0
-968.26171875,-572.265625,188.4765625,434.08203125,0
-968.26171875,-402.34375,11.23046875,-800.78125,0
-968.26171875,-231.4453125,-377.9296875,-1000.0,0
-968.26171875,-244.140625,-297.36328125,-836.42578125,0
-968.26171875,-483.3984375,163.57421875,465.8203125,0
-968.26171875,-510.25390625,119.62890625,-93.26171875,0
-968.26171875,-216.30859375,-360.3515625,-1000.0,0
-968.26171875,-179.6875,-355.95703125,-1000.0,0
-968.26171875,-385.25390625,102.5390625,116.2109375,0
-968.26171875,-505.859375,243.65234375,302.24609375,0
-968.26171875,-211.42578125,-234.375,-1000.0,0
-968.26171875,-139.16015625,-390.625,-1000.0,0
-968.26171875,-288.57421875,51.7578125,-22.4609375,0
-968.26171875,-505.37109375,362.79296875,408.203125,0
-968.26171875,-279.296875,-98.6328125,-917.96875,0
-968.26171875,-149.4140625,-428.7109375,-1000.0,0
-968.26171875,-247.0703125,-226.5625,-314.453125,0
-980.95703125,-565.4296875,184.5703125,778.80859375,0
-892.08984375,-477.05078125,-64.453125,-498.53515625,0
-1000.0,-231.93359375,-536.1328125,-1000.0,0
-504.39453125,-243.1640625,-461.42578125,-886.23046875,0
-946.77734375,-514.16015625,-13.671875,520.01953125,0
118.65234375,-607.421875,-24.90234375,197.265625,0
-1000.0,-320.3125,-553.7109375,-1000.0,0
-404.78515625,-277.83203125,-607.91015625,-1000.0,0
-878.41796875,-506.8359375,-152.34375,165.52734375,0
437.01171875,-672.8515625,81.54296875,345.21484375,0
-1000.0,-396.97265625,-425.29296875,-998.046875,0
-817.3828125,-313.4765625,-713.8671875,-1000.0,0
785.64453125,-474.12109375,-367.67578125,-36.1328125,0
791.9921875,-722.16796875,-0.48828125,557.6171875,0
-714.84375,-490.72265625,-343.75,-843.75,0
-1000.0,-304.19921875,-715.8203125,-1000.0,0
-58.59375,-377.44140625,-499.0234375,-360.3515625,0
934.08203125,-681.640625,-10.7421875,952.63671875,0
-437.98828125,-594.23828125,-167.96875,-200.68359375,0
-1000.0,-278.80859375,-632.8125,-1000.0,0
-554.6875,-249.51171875,-510.7421875,-829.1015625,0
876.46484375,-521.97265625,5.859375,660.64453125,0
-88.8671875,-623.046875,-17.08984375,294.43359375,0
-1000.0,-300.29296875,-547.8515625,-1000.0,0
-1000.0,-222.65625,-642.578125,-1000.0,0
64.453125,-429.19921875,-200.68359375,85.9375,0
125.48828125,-622.0703125,55.17578125,372.55859375,0
-1000.0,-321.77734375,-385.7421875,-969.23828125,0
-987.3046875,-175.29296875,-627.44140625,-1000.0,0
-800.29296875,-322.75390625,-265.625,-69.3359375,0
-753.41796875,-621.58203125,149.4140625,738.76953125,0
-939.453125,-405.76171875,-165.52734375,-674.31640625,0
-1000.0,-129.8828125,-508.7890625,-1000.0,0
-770.01953125,-199.70703125,-357.421875,-473.14453125,0
-193.359375,-558.59375,51.26953125,953.61328125,0
-784.1796875,-524.90234375,-78.61328125,-62.5,0
-1000.0,-210.44921875,-591.30859375,-1000.0,0
-836.9140625,-192.87109375,-586.42578125,-1000.0,0
624.51171875,-459.47265625,-124.0234375,362.79296875,0
164.0625,-584.9609375,-28.3203125,322.265625,0
-1000.0,-280.2734375,-538.57421875,-1000.0,0
-872.0703125,-224.12109375,-691.89453125,-1000.0,0
653.80859375,-431.15234375,-315.91796875,-7.32421875,0
673.33984375,-643.06640625,10.7421875,417.48046875,0
-1000.0,-366.69921875,-354.98046875,-919.921875,0
-907.2265625,-253.41796875,-730.46875,-1000.0,0
499.0234375,-382.32421875,-513.671875,-206.54296875,0
-771.484375,-670.41015625,-119.140625,667.48046875,0
48.33984375,-515.13671875,-388.18359375,-681.640625,0
-1000.0,-293.9453125,-790.52734375,-1000.0,0
-56.15234375,-309.5703125,-670.41015625,-800.78125,0
-744.62890625,-578.125,-215.33203125,542.96875,0
246.09375,-608.3984375,-260.7421875,-64.453125,0
-1000.0,-321.2890625,-750.0,-1000.0,0
-310.05859375,-292.48046875,-747.55859375,-1000.0,0
-799.8046875,-479.98046875,-267.08984375,63.96484375,0
284.1796875,-601.07421875,-108.88671875,280.76171875,0
-1000.0,-296.38671875,-513.18359375,-1000.0,0
-1000.0,-248.53515625,-671.38671875,-1000.0,0
482.421875,-402.34375,-358.3984375,-88.8671875,0
654.78515625,-587.40234375,-63.4765625,316.40625,0
-918.45703125,-391.6015625,-467.7734375,-949.21875,0
-1000.0,-304.19921875,-768.06640625,-1000.0,0
41.9921875,-335.44921875,-555.17578125,-623.53515625,0
-800.78125,-550.78125,-166.9921875,239.74609375,0
-43.45703125,-506.8359375,-350.09765625,-679.6875,0
-1000.0,-325.68359375,-744.62890625,-1000.0,0
-185.546875,-323.2421875,-640.13671875,-1000.0,0
-781.25,-518.5546875,-187.01171875,69.3359375,0
446.2890625,-596.6796875,-167.48046875,-46.875,0
-1000.0,-384.27734375,-717.7734375,-1000.0,0
-227.5390625,-382.32421875,-789.0625,-1000.0,0
-888.671875,-543.45703125,-388.18359375,-42.48046875,0
-944.82421875,-656.25,-204.58984375,245.1171875,0
-422.36328125,-420.8984375,-621.58203125,-992.67578125,0
-308.59375,-406.25,-812.01171875,-1000.0,0
-872.0703125,-494.140625,-566.89453125,-361.328125,0
990.72265625,-658.203125,-318.359375,132.8125,0
943.359375,-544.921875,-619.140625,-904.296875,0
951.66015625,-465.33203125,-897.94921875,-1000.0,0
-998.046875,-469.7265625,-654.296875,-712.40234375,0
-999.0234375,-731.93359375,-259.27734375,354.98046875,0
997.0703125,-746.09375,-468.75,-449.70703125,0
999.51171875,-513.671875,-937.01171875,-1000.0,0
999.51171875,-519.04296875,-891.11328125,-1000.0,0
